Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",750.5,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,-1,72.0,75.0,"Data Scientist Location: Albuquerque, Education Required: Bachelor’s degree required, preferably math, engineering, business, sciences. Skills Required: Bachelor’s Degree relevant field, e.g., math, data analysis, database, computer science, Artificial Intelligence (AI); three years’ experience credit Master’s degree; five years’ experience credit Ph.D Applicant proficient use Power BI, Tableau, Python, MATLAB, Microsoft Word, PowerPoint, Excel, working knowledge Access, LMS, SAS, data visualization tools, strong algorithmic aptitude Excellent verbal written communication skills, quantitative analytical skills required Applicant must able work team environment U.S. citizenship ability obtain DoD Secret Clearance required Responsibilities: The applicant responsible formulating analytical solutions complex data problems; creating data analytic models improve data metrics; analyzing customer behavior trends; delivering insights stakeholders, well designing crafting reports, dashboards, models, algorithms make data insights actionable; selecting features, building optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data third party sources information needed; enhancing data collection procedures include information relevant building analytic systems; processing, cleansing, verifying integrity data used analysis; ad-hoc analysis presenting results clear manner; creating automated anomaly detection systems constant tracking performance. Benefits: offer competitive salaries commensurate education experience. excellent benefits package includes: Comprehensive health, dental, life, long short term disability insurance 100% Company funded Retirement Plans Generous vacation, holiday sick pay plans Tuition assistance Benefits provided employees regularly working minimum hours per week. Tecolote Research private, employee-owned corporation people primary resource. Our investments technology training give employees tools ensure clients provided solutions need, high employee retention rate stable workforce added value customers. Apply connect company invests you."
Healthcare Data Scientist,3.4,University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",10000.0,1984,Other Organization,Health Care Services & Hospitals,Health Care,-1,87.5,3500.0,"What You Will Do: General Summary The Healthcare Data Scientist position join Advanced Analytics group University Maryland Medical System (UMMS) support strategic priority become data-driven outcomes-oriented organization. The successful candidate years experience Machine Learning, Predictive Modeling, Statistical Analysis, Mathematical Optimization, Algorithm Development passion working healthcare data. Previous experience various computational approaches along ability demonstrate portfolio relevant prior projects essential. This position report UMMS Vice President Enterprise Data Analytics (ED&A). II. Principal Responsibilities Tasks Develops predictive prescriptive analytic models support organization’s clinical, operations business initiatives priorities. Deploys solutions provide actionable insights organization embedded integrated application systems Supports drives analytic efforts designed around organization’s strategic priorities clinical/business problems Works team drive disruptive innovation, may translate improved quality care, clinical outcomes, reduced costs, temporal efficiencies process improvements. Builds extends analytics portfolio supported robust documentation Works autonomy find solutions complex problems using open source tools in-house development Stays abreast state-of-the-art literature fields operations research, statistical modeling, statistical process control mathematical optimization Creates, communicates, manages project plans required project documentation provides updates leadership necessary Develops maintains relationships business, clinical leaders stakeholders across enterprise facilitate collaboration effective communication Works analytics team clinical/business stakeholders develop pilots may tested validated pilot settings Performs analysis evaluate primary secondary objectives pilots Assists leadership strategies scaling successful projects across organization enhances analytics applications based feedback end-users clinical/business consumers Assists leadership dissemination success stories (and failures) effort increase analytics literacy adoption across organization. What You Need Successful: III. Education Experience Master’s higher degree (may substituted relevant work experience) applied mathematics, physics, computer science, engineering, statistics related field years Mathematical Optimization, Machine Learning, Predictive Analytics Algorithm Development experience (experience tools WEKA, RapidMiner, Python open source tools strongly desired) Strong development skills two following: C/C++, C#, Python, Java Combining analytic methods advanced data visualizations Expert ability breakdown clearly define problems Experience Natural Language Processing preferred IV. Knowledge, Skills Abilities Proven communications skills Effective working independently collaboration staff members. Capable clearly presenting findings orally, writing, graphics. Proven analytical skills Able compare, contrast, validate work keen attention detail. Skilled working “real world” data including scrubbing, transformation, imputation. Proven problem solving skills Able plan work, set clear direction, coordinate tasks fast-paced multidisciplinary environment. Expert triaging issues, identifying data anomalies, debugging software. Design prototype new application functionality products. Change oriented actively generates process improvements; supports drives change, confronts difficult circumstances creative ways Effective communicator change agent Ability prioritize tasks project timeline achieve desired results Strong analytic problem solving skills Ability cooperatively effectively work people various organization levels Equal Opportunity Employer discriminate employee applicant employment race, color, sex, age, national origin, religion, sexual orientation, gender identity, status veteran, basis disability federal, state local protected class."
Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",750.5,2010,Company - Private,Security Services,Business Services,-1,85.0,300.0,"KnowBe4, Inc. high growth information security company. world's largest provider new-school security awareness training simulated phishing. KnowBe4 created help organizations manage ongoing problem social engineering. Tens thousands organizations worldwide use KnowBe4's platform mobilize end users last line defense enable make better security decisions, every day. ranked best place work technology nationwide Fortune Magazine placed The Tampa Bay Top Workplaces Survey last four years. also 27th record-setting quarter row! The Data Scientist work closely FP&A Quantitative Analytics Manager implement advanced analytical models data-driven solutions. Responsibilities: Work key stakeholders throughout organization identify opportunities using financial data develop business solutions. Develop new enhance existing data collection procedures ensure data relevant analyses captured. Cleanse, consolidate, verify integrity data used analyses. Build validate predictive models increase customer retention, revenue generation, business outcomes. Develop relevant statistical models assist profitability forecasting Create analytics leverage known, inferred appended information origins recognizing patterns assist outlook forecasting Assist design data modeling data warehouse. Visualize data, especially reports dashboards, communicate analysis results stakeholders. Extend data collection unstructured data within company external sources Mine collect data (both structured unstructured) detect patterns, opportunities insights drive organization Create execute automation data mining requests utilizing SQL, Access, Excel, SAS statistical programs Trouble shoot forecast optimization anomalies FP&A team use statistical mathematical optimization models. Develop testing explain reduce anomalies. Oversee develop key metric forecasts well provide budget support based trends business/industry. Minimum Qualifications: Master's degree Statistics, Computer Science, Mathematics quantitative discipline required 2-3 years experience similar role (Master's Degree) 0-2 years experience similar role (PhD) Experience leveraging predictive modeling, big data analytics, exploratory data analysis machine learning drive significant business impact Experience statistical computer languages (Python, etc.) manipulate analyze large datasets preferred. Experience data visualization tools like D3.js, matplotlib, etc., preferred Exceptional understanding machine learning algorithms Random Forest, SVM, k-NN, Naïve Bayes, Gradient Boosting plus. Applied statistical skills including statistical testing, regression, etc. Experience data bases, query languages, associated data architecture. Experience distributed computing tools (Hive, Spark, etc.) plus. Strong analytical skills ability meet project deadlines. Note: applicant assessment, background check drug test may part hiring procedure. recruitment agencies, please."
Data Scientist,3.8,PNNL,"Richland, WA","Richland, WA",3000.5,1965,Government,Energy,"Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",76.5,250500.0,"*Organization Job ID** Job ID: 310709 Directorate: Earth Biological Sciences Division: Biological Sciences Group: Exposure Science Team *Job Description** The Biological System Science (BSS) Group Biological Sciences Division Pacific Northwest National Laboratory (PNNL) seeking staff scientist multidisciplinary experience computational chemistry, cheminformatics, advanced statistics and/or machine learning/deep learning/AI. Preferred candidates broad understanding state computational metabolomics experience designing implementing novel deep learning networks chemistry applications. Research experience drug design, cheminformatics, deep learning, machine learning and/or small molecule identification also highly valued. Successful candidates join large, uniquely collaborative, collegial group innovators driving integration data science, computational science analytical chemistry solve nations challenging problems human health, chemical forensics, national security. The BSS Group diverse inclusive, working closely colleagues across laboratory expertise computational biology, integrative omics, applied mathematics, computer science, statistics. Apply knowledge statistics, machine learning, advanced mathematics, simulation, software development, data modeling design, development implement methods integrate, clean analyze data, recognize patterns, address uncertainty, pose questions, make discoveries structured and/or unstructured data. Produce solutions driven exploratory data analysis complex high-dimensional datasets. Design, develop, evaluate predictive models advanced algorithms lead optimal value extraction data. Develop maintain existing deep learning networks generate novel molecules drug discovery applications Contribue author proposals, peer-reviewed papers, technical products. *Minimum Qualifications** BS/BA 0-1 years experience MS/MA 0-1 years experience *Preferred Qualifications** chemical engineering, computer science, related field GPA 3.5+ years research experience Intermediate level programming experience (preferably Python) high-performance computing experience least one first author published, proof submitted, paper applying deep learning use novel compound generation Understanding NMDA receptor potential drug targets Research experience drug design, cheminformatics, deep learning, machine learning and/or small molecule identification *Equal Employment Opportunity** Battelle Memorial Institute (BMI) Pacific Northwest National Laboratory (PNNL) Affirmative Action/Equal Opportunity Employer supports diversity workplace. All employment decisions made without regard race, color, religion, sex, national origin, age, disability, veteran status, marital family status, sexual orientation, gender identity, genetic information. All BMI staff must able demonstrate legal right work United States. BMI E-Verify employer. Learn jobs.pnnl.gov. *_Please aware Department Energy (DOE) prohibits DOE employees contractors participation certain foreign government talent recruitment programs. offered position PNNL currently participant foreign government talent recruitment program required disclose information first day employment._** _Directorate:_ _Earth Biological Sciences_ _Job Category:_ _Scientists/Scientific Support_ _Group:_ _Biological Systems Science_ _Opening Date:_ _2020-03-26_ _Closing Date:_ _2020-04-05_"
Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",125.5,1998,Company - Private,Advertising & Marketing,Business Services,"Commerce Signals, Cardlytics, Yodlee",114.5,24319.000761035008,"Data Scientist Affinity Solutions Marketing Cloud seeks smart, curious, technically savvy candidates join cutting-edge data science team. hire best brightest give opportunity work industry-leading technologies. The data sciences team AFS/Marketing Cloud build models, machine learning algorithms power ad-tech/mar-tech products scale, develop methodology tools precisely effectively measure market campaign effects, research in-house public data sources consumer spend behavior insights. role, opportunity come new ideas solutions lead improvement ability target right audience, derive insights provide better measurement methodology marketing campaigns. You'll access core data asset machine learning infrastructure power ideas. Duties Responsibilities Support clients model building needs, including maintaining improving current modeling/scoring methodology processes, Provide innovative solutions customized modeling/scoring/targeting appropriate ML/statistical tools, Provide analytical/statistical support marketing test design, projection, campaign measurement, market insights clients stakeholders. Mine large consumer datasets cloud environment support hoc business statistical analysis, Develop Improve automation capabilities enable customized delivery analytical products clients, Communicate methodologies results management, clients none technical stakeholders. Basic Qualifications Advanced degree Statistics/Mathematics/Computer Science/Economics fields requires advanced training data analytics. Being able apply basic statistical/ML concepts reasoning address solve business problems targeting, test design, KPI projection performance measurement. Entrepreneurial, highly self-motivated, collaborative, keen attention detail, willingness capable learn quickly, ability effectively prioritize execute tasks high pressure environment. Being flexible accept different task assignments able work tight time schedule. Excellent command one programming languages; preferably Python, SAS Familiar one database technologies PostgreSQL, MySQL, write basic SQL queries Great communication skills (verbal, written presentation) Preferred Qualifications Experience exposure large consumer and/or demographic data sets. Familiarity data manipulation cleaning routines techniques."
Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",350.5,2000,Company - Public,Real Estate,Real Estate,"Digital Realty, CoreSite, Equinix",95.0,1500.0,"CyrusOne seeking talented Data Scientist holds range data-focused skills technical analytical domains. The ideal candidate adept processing, cleansing, verifying integrity data used visualization analysis. This role dynamic, granting candidate opportunity participate wide variety projects collaborate many cross-functional teams throughout business. Duties Responsibilities: Participate agile scrum cadence Process, cleanse, verify integrity data used analysis Perform functional business requirements analysis data analysis Develop data models algorithms apply data sets Augment data collection procedures include necessary information building accurate analytics Collaborate stakeholders throughout organization identify opportunities leveraging data drive business solutions Evaluate effectiveness accuracy data sources data gathering techniques Gather critical information meetings various stakeholders produce useful reports Coordinate cross-functional teams implement models monitor outcomes Develop automated discrepancy detection systems distribute reconciliation reports stakeholders Requirements: Must legally authorized work United States employer without sponsorship Professional experience using statistical software languages like Python, SQL query, manipulate, draw insights data sets Strong problem-solving skills emphasis product development Extensive experience Microsoft SQL, MySQL MongoDB Understanding version control (git) project management Azure DevOps Knowledge machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) Experience visualizing data stakeholders using visualization tools Power Experience working creating data architectures Understanding adherence agile principles practices Ability work problems scope analysis situations data requires review variety factors Self-maintainability reliability minimal supervision Excellent interpersonal communication, decision making, presentation, organizational skills Ability build productive internal/external working relationships Harmonious CyrusOne culture, core values, business goals Minimum Qualifications: years related experience data analyst role Strong can-do attitude time sensitive environment Other important information position: This position requires typical weekday (Monday Friday) attendance office setting, times hours work may required meet business customer needs Every position requires certain physical capabilities. CyrusOne seeks make reasonable accommodations enable individuals disabilities perform essential duties possible CyrusOne equal opportunity employer. All qualified applicants receive consideration employment without regard race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, legally protected status. CyrusOne provides reasonable accommodation qualified individuals disabilities accordance Americans Disabilities Act (ADA) state local laws. respond requests reasonable accommodations assist applying positions CyrusOne, submit resume. need request accommodation, please contact Human Resources 214.488.1365 (Option email HR@cyrusone.com."
Data Scientist,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",750.5,2008,Company - Private,Banks & Credit Unions,Finance,-1,73.5,24319.000761035008,"Job Description **Please local candidates apply thank you** ClearOne Advantage fast-growing company aggressively hiring due increased business. always improving marketing, culture technology provide employees best work atmosphere customers excellent customer service. COA’s proprietary software tailored industry allows client receive best service possible. looking Data Scientist analyze large amounts raw information find patterns help improve company. rely build data products extract valuable business insights. role, highly analytical knack analysis, math statistics. Critical thinking problem-solving skills essential interpreting data. want see passion machine-learning research. Your goal help company analyze trends make better decisions. looking work team environment, place name number, interact leadership daily, please send resume review! Perks: Great location, right water Canton Crossing Tower Casual work environment WFH flexibility Room advancement What doing: Identify valuable data sources automate collection processes Undertake preprocessing structured unstructured data Analyze large amounts information discover trends patterns Build predictive models machine-learning algorithms Combine models ensemble modeling Present information using data visualization techniques Propose solutions strategies business challenges Collaborate engineering product development teams"
Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",350.5,2005,Company - Private,Consulting,Business Services,-1,114.0,37.5,"Advanced Analytics Lead Data Scientist Overview looking Data Scientist join Data Science team work interesting projects help clients make data driven solutions. Data Scientist, you’ll work closely clients understand business needs, frame statistical problems, solve cutting edge techniques. Collaborate team, including machine learning engineers, data engineers, analysts, TPMs define tasks, provide estimates, work together deliver world class solution. The ideal candidate balance technical skills business acumen help client better understand core needs understanding technical limitations. About you… Experience partnering communicating executive management team understand business needs pain points Ability communicate data science concepts business stakeholders Passion application machine learning real world problems Adept developing iterating solutions rapidly Ability lead development data science solutions What offer consultants: Experience working large enterprise clients mid-sized clients Progressive responsibilities encourage ownership design Opportunity learn gain experience complimentary skills meeting facilitation, data management, project management, data modeling, data management Company Culture celebrates “Foster culture we”, “Act integrity” “Drive towards excellence” fun work Training certification opportunities support career Logic20/20 Various opportunities give back community company sponsored events Required Qualifications Experience building machine learning models using Python Experience deploying machine learning models production environment Strong knowledge probability statistics Experience Tensorflow PyTorch Experience writing SQL query databases, structure modify data Demonstrated ability frame business problems statistical problems solve Ability work independently part team Experience working ambiguous dynamic environments move quickly undergraduate degree mathematics, computer science, engineering preferred Preferred Qualifications Passion experience driving adoption machine learning industry Experience deploying machine learning large scales Spark big data technology Experience building systems AWS Experience computer vision deep neural networks Experience leading workshops executives drive requirements gathering Masters PhD data science related field About Logic20/20. Logic20/20 one Seattle’s fastest growing full-service consulting firms. Our core competency creating simplicity efficiency complex solutions. Although make look like magic, succeed combining methodical structured approaches substantial experience design elegant solutions even intricate challenges. Our rapid growth response ability deliver consistently clients, directly related quality people hire. The past four years, we’ve top “Best Companies Work For” ….. why? Our team members highly self-motivated, comfortable conceiving strategies fly, enjoy working individually part team. Our environment high-energy demanding, individuals remarkable enthusiasm can-do attitude joining team. lots fun, focus employees clients, work bring best every opportunity."
Research Scientist,3.3,Rochester Regional Health,"Rochester, NY","Rochester, NY",10000.0,2014,Hospital,Health Care Services & Hospitals,Health Care,-1,61.0,250500.0,"SUMMARY The Research Scientist tasked oversight research Division Cancer Biology Research Rochester General Hospital Research Institute. strong background Molecular Biology Cancer Biology Research preferred. Mouse models used research. STATUS: Full Time LOCATION: RGH Research Institute DEPARTMENT: Cancer Biology SCHEDULE: Monday-Friday; Days ATTRIBUTES PhD self supporting salary research program Functions minimal direction Research Scientist II, Senior Research Scientist Laboratory Director. Strong analytical, computer, leadership problem-solving skills RESPONSIBILITIES Conducts research projects including complex experiments, parallel, utilizing current concepts recognized standard techniques, developing new protocols necessary Demonstrates high level initiative performing experiments, analyzing data drawing conclusions regarding progress results work. Maintains familiarity current emerging technologies reading understanding scientific technical literature resulting broadening understanding disciplines outside area training enabling use new improved procedures laboratory. Duties performed understanding drug discovery area specialization. EDUCATION PhD; Rochester Regional Health Equal Opportunity Affirmative Action Employer. Minority/Female/Disability/Veteran"
Data Scientist,4.6,<intent>,"New York, NY","New York, NY",125.5,2009,Company - Private,Internet,Information Technology,"Clicktripz, SmarterTravel",140.0,300.0,"isn’t usual company. Our work powered premise every person unique, possessing distinct set skills, personality, passions. embrace collective talents tackle technical challenges, refine successfully disruptive business ideas, co-create one human inspiring work cultures there. team collaborators, valuing rewarding shared success individual heroics. member Data Science team, use quantitative expertise identify new areas research optimization, see ideas production. Data Science fundamental contributor Intent’s success work direct tangible impact business. There typical projects, workflow might involve performing research analysis petabytes historical data using collection large-scale analytics tools like Spark, Snowflake, RedShift, building prototypes using mostly Scala another functional language, pairing engineers Modeling Prediction team harden deploy functionality, running live tests monitor results. All steps take place environment respect collaboration, Data Science team empowered agile processes. Every member team expected student teacher, believe effective Data Science team one collectively learning growing. Experience coaching mentoring colleagues levels strongly desired. part Data Science team, you’d help build real-time predictive analytics platform makes decisions largest sites web. About You: Significant industry experience several following areas: personalized experiences, big data analytics, implementing machine learning statistical methods, designing running A/B tests, product design life cycle, writing production code, designing online auctions. Experience user experience customization plus Experience coaching mentoring team members Experience writing production software languages like Scala, Clojure, Java, Python, C++ agile, collaborative environment Experience handling large amounts data (TB+) production setting Experience Spark significant plus Experience ad-tech plus About Us: data science company world’s leading online commerce travel brands. Our Predictive Intelligence Platform uses patented technology predict user behavior real-time identify future value every user. Over 450 innovative brands countries trust Intent’s real-time predictions deliver personalized user experiences maximize utility ROI. Our team 100 people offices span globally. We’re headquartered NYC locations London, Kuala Lumpur, Sao Paulo. Every day, we’re inspired two pursuits. First, we’re building novel products upending e-commerce. Second, we’re building company we’ve always wanted work one that’s open, human collaborative, smart people come together share ideas get things done. We’re included Built NYC's Best Places Work list Crain’s 100 Best Places Work NYC list seven years running. Love Your Job! Our employees enjoy coming work, let know they're valued. Our vibrant team accomplishes lot every day, insist upon work/life balance things never become stale. don’t take seriously, take work seriously. believe order employees perform best, need access strategic decisions, flat structure open communication invite innovation levels ideas flow freely. offer competitive compensation, stock options, great perks benefits, including: Unlimited vacation generous parental leave policy beautiful, dog-friendly office SoHo drinks snacks open environment lots natural light roof deck access Annual $2,000 learning budget Citi Bike membership Access Fond, employee perks program featuring deals discounts hundreds products services Access Sherpaa, telehealth service 24/7 In-office yoga classes Company-wide social events, more! waiting for? Apply resume clicks! About Our Products Our Dogs Twitter Instagram"
